id,number_anno,name_ru,name_kz,ref_trade_methods_id,publish_date,start_date,end_date,total_sum,ref_buy_status_id,org_bin,system_id,index_date
1,5fef101d-0457-4de7-b997-ae61cd40db67,Поставка бумаги формата A4,A4 форматындағы қағаз жеткізу,7,2025-07-06,2024-08-25,2025-09-15,1815377,5,994190990465,3,2025-08-02 19:27:24
2,412293b0-49a3-4173-a749-7086c36b2b0f,Поставка тонера и картриджей для принтеров,Принтерлерге арналған тонер мен картридждерді жеткізу,1,2023-04-03,2023-09-08,2025-04-01,6763080,2,726936576937,3,2025-05-31 14:30:15
3,4c6c43ba-8905-405a-8ab4-148871345bd1,Поставка офисной мебели,Офис жиһазын жеткізу,3,2024-08-20,2025-10-26,2023-04-30,2313527,3,876164949153,3,2024-03-11 16:44:06
4,281a277c-89e4-45d8-a71a-d2b386c8e3e8,Поставка канцелярии,Кеңсе тауарларын жеткізу,2,2025-01-07,2025-11-03,2025-04-10,1799048,4,746034716030,3,2023-03-17 08:23:31
5,9c7c1388-a99d-4ccd-a596-a30e2b65db56,Обслуживание и ремонт лифтов,Лифттарды күтіп-ұстау және жөндеу,3,2025-09-27,2024-01-27,2023-04-19,1977924,5,706806407543,3,2024-09-07 23:10:48
6,a7f71efb-cb8a-4f1f-8990-d5f9d7d7b4cd,Поставка компьютерной техники,Компьютер техникасын жеткізу,1,2024-08-30,2025-01-21,2025-10-30,5102587,4,158733391567,3,2025-05-04 20:09:56
7,c9e65a15-0384-4bf5-a293-24b52a460fae,Поставка ноутбуков,Ноутбуктарды жеткізу,7,2025-04-07,2023-03-10,2023-02-04,905323,2,701404682942,3,2024-02-14 20:01:41
8,6122cb39-9152-4fb5-a878-0f57a6ce0d34,Поставка сетевого оборудования,Желілік жабдықтарды жеткізу,7,2022-12-19,2024-08-01,2024-09-28,6052255,1,272671634673,3,2023-11-17 13:37:05
9,e0d44a67-f8bf-438d-a39c-76e9ac25c51f,Поставка и монтаж видеонаблюдения,Бейнебақылау жүйелерін жеткізу және орнату,5,2024-10-31,2023-09-08,2024-04-21,5141566,2,759542147469,3,2023-08-21 11:25:12
10,37742f59-ea2a-457d-8dcc-9cd3c41fd859,Поставка систем контроля доступа,Кіру бақылау жүйелерін жеткізу,5,2023-08-16,2025-03-31,2023-12-10,32238,4,148456568212,3,2024-09-13 13:33:30
11,6f8937c1-ecaf-4006-bd47-8297b639cbfa,Ремонт офисных помещений,Офис кеңселерін жөндеу,8,2023-06-02,2025-01-10,2023-02-10,3413114,3,499708855834,3,2023-01-02 16:23:17
12,2750b2b5-1fe6-45f1-8b6a-6a378f3b126a,Поставка фасадных материалов,Фасад материалдарын жеткізу,8,2025-08-25,2023-09-29,2024-06-23,7379049,1,464824374374,3,2024-08-19 12:45:32
13,b84a621e-0bc3-4185-94c6-204ff46b5fe2,Поставка электрооборудования,Электр құрал-жабдықтарын жеткізу,1,2022-12-29,2025-03-21,2024-02-09,1055652,5,108523219935,3,2025-08-24 16:18:57
14,7b5ab747-e913-4473-9a22-2daed71d488e,Поставка дизель-генераторов,Дизель генераторларын жеткізу,7,2023-08-10,2024-12-07,2023-11-22,969997,2,222681376511,3,2023-08-25 02:48:55
15,a41e73ee-3561-4c64-836e-b1468d326734,Поставка оргтехники,Офистік техника жеткізу,6,2023-02-16,2023-11-30,2024-09-22,3878253,4,173769048646,3,2023-11-11 06:28:33
16,43cb28cc-777b-407c-906e-25bad75c3372,Вывоз строительного мусора,Құрылыс қалдықтарын шығару,4,2023-01-30,2024-11-28,2025-02-25,9585160,1,578629986135,3,2023-06-29 22:57:05
17,2dc19aaf-a3cb-4e4b-8614-919d41f876c8,Поставка медицинского кислорода,Медициналық оттекті жеткізу,9,2023-01-22,2023-08-22,2022-12-27,2707693,5,194629589426,3,2023-08-04 08:09:12
18,ab080fca-4246-49b6-9801-a390e3c7011c,Поставка средств индивидуальной защиты,Жеке қорғаныс құралдарын жеткізу,10,2025-08-10,2024-12-05,2023-09-02,1299671,2,877696643834,3,2024-01-18 06:24:39
19,5818db96-a312-4d81-b0f0-59d9d9ff356f,Поставка одноразовой медицинской посуды,Бір реттік медициналық ыдыс-аяқтарды жеткізу,2,2024-08-26,2023-01-13,2024-05-21,690809,3,310038534603,3,2024-10-11 23:45:02
20,c9e8d990-e15b-4eef-83e0-a2bc99a45ab7,Поставка лабораторного оборудования,Лаборатория жабдықтарын жеткізу,5,2023-06-04,2024-02-22,2024-02-22,8598154,5,287182686595,3,2024-04-18 01:59:39
