id,lot_number,ref_lot_status_id,last_update_date,union_lots,count,amount,name_ru,name_kz,customer_id,customer_bin,trd_buy_number_anno,trd_buy_id,dumping,dumping_lot_price,psd_sign,compl_exp,consulting_services,point_list,index_date,system_id
1,40336,10,2024-10-15 10:21:07,1,455,1815377,Поставка бумаги формата A4,A4 форматындағы қағаз жеткізу,184,994190990465,5fef101d-0457-4de7-b997-ae61cd40db67,1,1,4640.48,1,0,1,Закупка бумаги формата A4,2025-08-02 19:27:24,3
2,62779,4,2025-06-13 20:45:39,1,490,6763080,Поставка тонера и картриджей для принтеров,Принтерлерге арналған тонер мен картридждерді жеткізу,154,726936576937,412293b0-49a3-4173-a749-7086c36b2b0f,2,1,8240.24,1,1,1,Закупка тонера и картриджей для принтеров,2025-05-31 14:30:15,3
3,75075,7,2025-05-22 23:44:20,0,308,2313527,Поставка офисной мебели,Офис жиһазын жеткізу,190,876164949153,4c6c43ba-8905-405a-8ab4-148871345bd1,3,1,97156.55,1,1,0,Закупка офисной мебели,2024-03-11 16:44:06,3
4,52850,1,2025-04-11 06:38:04,1,195,1799048,Поставка канцелярии,Кеңсе тауарларын жеткізу,107,746034716030,281a277c-89e4-45d8-a71a-d2b386c8e3e8,4,1,58434.66,1,1,1,Закупка канцелярии,2023-03-17 08:23:31,3
5,96179,8,2025-05-03 12:48:44,1,158,1977924,Обслуживание и ремонт лифтов,Лифттарды күтіп-ұстау және жөндеу,86,706806407543,9c7c1388-a99d-4ccd-a596-a30e2b65db56,5,0,12555.39,1,1,1,Обслуживание и ремонт лифтов,2024-09-07 23:10:48,3
6,64199,4,2025-10-14 12:28:52,1,63,5102587,Поставка компьютерной техники,Компьютер техникасын жеткізу,303,158733391567,a7f71efb-cb8a-4f1f-8990-d5f9d7d7b4cd,6,1,65911.73,0,1,0,Закупка компьютерной техники,2025-05-04 20:09:56,3
7,94097,8,2024-01-28 03:16:22,1,84,905323,Поставка ноутбуков,Ноутбуктарды жеткізу,93,701404682942,c9e65a15-0384-4bf5-a293-24b52a460fae,7,1,18447.60,0,0,1,Закупка ноутбуков для сотрудников,2024-02-14 20:01:41,3
8,17524,10,2025-08-29 19:25:13,0,200,6052255,Поставка сетевого оборудования,Желілік жабдықтарды жеткізу,340,272671634673,6122cb39-9152-4fb5-a878-0f57a6ce0d34,8,0,44183.21,0,0,1,Закупка сетевого оборудования,2023-11-17 13:37:05,3
9,36965,10,2022-12-10 07:52:10,1,348,5141566,Поставка и монтаж видеонаблюдения,Бейнебақылау жүйелерін жеткізу және орнату,313,759542147469,e0d44a67-f8bf-438d-a39c-76e9ac25c51f,9,1,3627.72,1,0,1,Монтаж и обслуживание видеонаблюдения,2023-08-21 11:25:12,3
10,74944,10,2024-02-19 09:29:21,1,384,32238,Поставка систем контроля доступа,Кіру бақылау жүйелерін жеткізу,291,148456568212,37742f59-ea2a-457d-8dcc-9cd3c41fd859,10,0,55885.85,0,0,1,Установка системы контроля доступа,2024-09-13 13:33:30,3
11,89941,9,2025-09-07 01:01:34,0,110,3413114,Ремонт офисных помещений,Офис кеңселерін жөндеу,79,499708855834,6f8937c1-ecaf-4006-bd47-8297b639cbfa,11,1,58668.67,0,1,0,Ремонт и реконструкция офисных помещений,2023-01-02 16:23:17,3
12,73146,4,2023-09-28 09:15:01,1,225,7379049,Поставка фасадных материалов,Фасад материалдарын жеткізу,105,464824374374,2750b2b5-1fe6-45f1-8b6a-6a378f3b126a,12,0,58800.08,1,1,1,Закупка фасадных материалов и утеплителя,2024-08-19 12:45:32,3
13,68645,5,2023-06-29 16:32:55,0,153,1055652,Поставка электрооборудования,Электр құрал-жабдықтарын жеткізу,91,108523219935,b84a621e-0bc3-4185-94c6-204ff46b5fe2,13,0,67564.00,0,0,1,Закупка электрооборудования и кабелей,2025-08-24 16:18:57,3
14,45016,5,2024-08-17 11:54:20,1,28,969997,Поставка дизель-генераторов,Дизель генераторларын жеткізу,379,222681376511,7b5ab747-e913-4473-9a22-2daed71d488e,14,0,36754.53,1,1,0,Закупка дизель-генераторов,2023-08-25 02:48:55,3
15,88016,8,2025-03-13 11:39:38,0,208,3878253,Поставка оргтехники,Офистік техника жеткізу,62,173769048646,a41e73ee-3561-4c64-836e-b1468d326734,15,0,31021.26,0,0,1,"Закупка оргтехники (мфу, сканеры)",2023-11-11 06:28:33,3
16,40078,1,2022-12-18 06:25:46,0,201,9585160,Вывоз строительного мусора,Құрылыс қалдықтарын шығару,175,578629986135,43cb28cc-777b-407c-906e-25bad75c3372,16,0,68494.77,1,0,0,Вывоз и утилизация строительного мусора,2023-06-29 22:57:05,3
17,1493,7,2023-11-21 10:18:08,0,152,2707693,Поставка медицинского кислорода,Медициналық оттекті жеткізу,119,194629589426,2dc19aaf-a3cb-4e4b-8614-919d41f876c8,17,1,66064.07,0,0,0,Закупка медицинского кислорода,2023-08-04 08:09:12,3
18,84749,8,2025-09-17 21:35:02,0,394,1299671,Поставка средств индивидуальной защиты,Жеке қорғаныс құралдарын жеткізу,498,877696643834,ab080fca-4246-49b6-9801-a390e3c7011c,18,1,25818.52,0,1,0,Закупка средств индивидуальной защиты (СИЗ),2024-01-18 06:24:39,3
19,16049,4,2025-01-30 01:43:28,0,299,690809,Поставка одноразовой медицинской посуды,Бір реттік медициналық ыдыс-аяқтарды жеткізу,150,310038534603,5818db96-a312-4d81-b0f0-59d9d9ff356f,19,1,85183.22,0,1,1,Закупка одноразовой медицинской посуды,2024-10-11 23:45:02,3
20,1283,8,2024-02-15 10:19:09,0,230,8598154,Поставка лабораторного оборудования,Лаборатория жабдықтарын жеткізу,107,287182686595,c9e8d990-e15b-4eef-83e0-a2bc99a45ab7,20,0,95576.39,1,1,0,Закупка лабораторного оборудования,2024-04-18 01:59:39,3
21,3678,9,2024-08-04 05:08:43,0,469,9328982,Поставка химических реагентов,Химиялық реактивтерді жеткізу,80,435061445297,af651a1c-44ef-4de0-a3a5-3a24d0edf54a,21,0,39754.37,0,0,1,Закупка химических реагентов для лабораторий,2025-11-02 17:30:07,3
22,73607,5,2024-02-16 05:11:24,1,465,8850624,Поставка канцелярских наборов,Кеңсе жинақтарын жеткізу,215,221886051191,a0df2d1b-e355-41ed-8892-b7a8b30a1e23,22,1,75714.64,1,0,0,Закупка канцелярских наборов для учебных заведений,2024-04-04 04:56:36,3
23,24133,9,2025-11-13 03:31:16,0,96,8201155,Поставка бумажных полотенец,Қағаз сүлгілерді жеткізу,65,597372782489,5ffb6489-c2f2-49dd-a7b8-ee8eab5d2c35,23,1,29027.45,1,0,1,Закупка бумажных полотенец и туалетной бумаги,2024-11-14 18:33:37,3
24,37807,9,2023-09-30 04:56:13,1,96,4501693,Поставка моющих средств,Жуғыш құралдарын жеткізу,430,285195326446,71a0dea7-2954-4563-8cf3-7e6e121f73e5,24,0,7340.64,1,0,1,Закупка моющих и чистящих средств,2023-02-04 18:02:15,3
25,71613,5,2022-12-02 18:41:09,1,161,4663217,Клининговые услуги,Клининг қызметтері,47,843455828132,0f4af8a4-6fdd-402a-bd50-98852f7b9ba6,25,0,33675.08,0,1,1,Проведение клининговых услуг,2023-11-11 05:03:36,3
26,35948,6,2025-06-26 05:30:49,1,232,6084582,Поставка дизельного топлива,Дизель отынын жеткізу,109,893378937111,501eab67-a92c-4bbb-b9c8-53ce2bb08dca,26,0,70069.55,0,0,1,Закупка дизельного топлива,2025-09-12 09:30:31,3
27,91422,5,2024-07-19 00:21:30,0,244,1470499,Поставка моторных масел,Мотор майларын жеткізу,88,563894751463,70a89c06-ee87-489e-8a0a-c93a9da136dc,27,1,65889.23,0,1,1,Закупка моторных масел и смазок,2024-04-11 23:06:22,3
28,28988,9,2024-08-02 22:21:11,0,214,3411837,Поставка автозапчастей,Көлік бөлшектерін жеткізу,299,677019181348,f0e9eb95-69b7-4b79-a11a-6fc36cc2e1d0,28,0,439.72,0,0,1,Закупка автозапчастей для служебного автопарка,2025-01-25 00:50:50,3
29,15435,10,2023-02-02 18:01:43,1,335,7774545,Аренда автобусов для персонала,Қызметкерлер үшін автобустарды жалға алу,344,348425887511,4e9fb9d9-938e-4ba6-8e8d-ac8f86eda6f6,29,1,10030.16,0,1,0,Аренда и обслуживание автобусов для перевозки персонала,2025-05-17 11:06:14,3
30,88421,8,2024-12-05 06:59:54,0,140,7116433,Обслуживание отопительных котлов,Жылыту қазандықтарын техникалық қызмет көрсету,385,642612884530,a0245738-a9e3-47b8-801e-dca1a1799309,30,1,25776.66,0,1,1,Техническое обслуживание отопительных котлов,2024-03-18 18:35:04,3
31,81820,5,2024-10-14 16:28:08,1,203,4564568,Поставка кондиционеров,Кондиционерлерді жеткізу,230,106347438351,d7514f93-2cfe-4008-b0e6-91945e183102,31,1,76415.05,0,0,1,Закупка и монтаж кондиционеров,2023-07-29 09:32:13,3
32,33564,10,2024-11-06 21:05:36,0,427,1723565,Поставка солнечных панелей,Күн панельдерін жеткізу,7,780036612017,a17b240d-9700-47a1-bd02-a0456daccf96,32,0,61174.54,0,1,0,Закупка солнечных панелей и инверторов,2023-12-04 01:04:39,3
33,55535,1,2024-11-22 05:16:30,0,233,9379059,Поставка складских стеллажей,Қойма сөрелерін жеткізу,102,667085582265,ad44a42c-71ce-4bde-bcd1-8ec2a80ef012,33,0,64277.32,0,0,1,Закупка складского стеллажного оборудования,2025-07-21 18:22:52,3
34,49821,4,2025-06-25 00:33:22,0,248,9043290,Поставка упаковочных материалов,Қаптама материалдарын жеткізу,128,453355202818,d1893dae-fea9-461b-aba9-a278dbb9e425,34,0,15627.06,1,0,0,"Закупка упаковочных материалов (коробки, плёнка)",2024-03-10 08:46:02,3
35,77866,1,2023-11-04 02:12:59,1,471,8080222,Поставка пластиковых контейнеров,Пластикалық контейнерлерді жеткізу,456,752080660456,13438708-10d6-448f-a2a1-4d8f940f5984,35,1,67959.79,0,1,0,Закупка пластиковых контейнеров для пищевой продукции,2023-10-06 22:55:10,3
36,70420,5,2024-04-25 16:34:58,0,125,7527690,Поставка продуктов питания,Азық-түлік тауарларын жеткізу,498,467038772085,1af5c692-339c-45fb-ad43-893308100379,36,1,61222.45,0,0,1,Закупка продуктов питания для корпоративного питания,2025-04-17 17:49:47,3
37,90283,6,2023-07-18 11:02:42,1,138,8800863,Кейтеринговые услуги,Кейтеринг қызметтері,293,483993988309,f9b43c74-5258-41a2-9697-f4bfbe1240e6,37,0,23939.85,1,1,0,Кейтеринговые услуги для корпоративных мероприятий,2023-04-06 08:34:48,3
38,30856,9,2024-09-30 11:02:44,0,351,9100114,Аренда сцены и звукового оборудования,Сахна мен дыбыс жабдықтарын жалға беру,51,158579452790,db7679a9-ad4c-41da-b87a-aad2ad1c966d,38,0,36423.26,0,1,0,Аренда сцены и звукового оборудования,2025-11-13 15:14:45,3
39,89878,10,2025-10-14 00:17:27,1,384,4712878,Организация конференций,Конференцияларды ұйымдастыру,311,170927650788,89568469-d487-4c36-9153-57ab0f7634fe,39,0,80445.66,0,0,1,Организация конференций и форумов,2025-11-21 15:49:14,3
40,72512,1,2023-07-04 09:38:59,0,264,8454219,Разработка корпоративного сайта,Корпоративтік сайтты әзірлеу,314,349305871654,1389507a-a577-4236-8be4-24d127f55465,40,1,54043.52,1,1,0,Разработка корпоративного сайта,2024-07-01 21:42:06,3
41,57836,8,2025-11-01 13:46:16,1,180,6991038,Разработка мобильного приложения,Мобильді қосымшаны әзірлеу,317,773763058535,69b66c90-aa8a-44f6-ad9a-ee6e26b4609c,41,1,73775.90,1,1,0,Разработка мобильного приложения для клиентов,2023-08-08 14:36:30,3
42,30333,10,2024-06-19 15:09:21,1,129,1731589,Поставка программного обеспечения,Бағдарламалық қамтамасыз етуді жеткізу,255,404207488246,424b4355-2757-4ae5-a492-71bb581e7d26,42,0,53867.87,1,1,0,Закупка программного обеспечения (CRM),2025-02-01 07:51:39,3
43,15875,10,2024-11-01 01:53:58,0,342,5425171,Облачные услуги,Бұлтты қызметтер көрсету,19,523811557110,4e0e530b-e171-4272-8214-223c487a437f,43,1,89871.71,1,0,1,Облачные услуги и хостинг серверов,2024-02-23 04:05:38,3
44,96992,6,2025-06-17 16:02:49,0,345,7075448,Услуги по кибербезопасности,Киберқауіпсіздік қызметтері,148,866782384654,5300b095-7a60-4e1e-a697-8fea30e81e50,44,1,45831.40,0,0,0,Услуги по кибербезопасности и аудиту ИТ-систем,2023-03-17 05:59:51,3
45,98380,3,2025-05-31 04:50:44,0,305,1581553,Поставка серверного оборудования,Серверлік жабдықтарды жеткізу,338,141474259952,b02aa258-7fa1-41f1-9e66-6cb77c078a36,45,1,92091.02,0,0,1,Закупка серверного оборудования и стоек,2023-11-09 06:41:31,3
