pid,bin,iin,inn,unp,regdate,crdate,index_date,number_reg,name_ru,name_kz,country_code,customer,organizer,mark_national_company,ref_kopf_code,mark_assoc_with_disab,system_id,supplier,type_supplier,krp_code,oked_list,kse_code,mark_world_company,mark_state_monopoly,mark_natural_monopoly,mark_patronymic_producer,mark_patronymic_supplyer,mark_small_employer,is_single_org,email,phone,website,last_update_date,qvazi,year,mark_resident
1,988031896451,212999143459,861036425515,571628813479,2025-07-29,2025-06-29,2025-08-02 19:27:24,16503,ТОО «Альфа Логистика»,ТОО «Альфа Логистика»,UZ,1,0,1,874,0,3,1,2,909,1110,776,0,1,0,1,1,1,1,veniamin1993@example.com,+7 (701) 123-4567,https://general.biz/,2024-10-15 10:21:07,1,2013,0
2,104148244741,268500118596,985013255136,317431368826,2023-07-22,2025-10-24,2025-05-31 14:30:15,54857,ИП «КазМед Сервис»,ИП «KazMed Service»,UZ,0,0,0,92,0,3,0,2,53,1120,654,0,1,0,0,0,0,0,evgeni_61@example.com,+7 (701) 234-5678,https://ooo.info/,2025-06-13 20:45:39,0,2019,1
3,829524515046,650634783560,404538554458,260867053279,2024-05-23,2025-03-28,2024-03-11 16:44:06,35196,АО «КазЭнерго»,АО «KazEnergo»,UZ,1,1,1,499,0,3,1,1,452,1130,780,1,0,1,0,1,1,0,ershovgleb@example.com,+7 (701) 345-6789,https://www.rao.info/,2025-05-22 23:44:20,0,2013,1
4,774463586292,570908754997,904142306739,777827960279,2025-09-14,2023-02-27,2023-03-17 08:23:31,33128,ИП «ОфисПлюс»,ИП «OfficePlus»,KG,0,0,1,877,1,3,0,1,527,1210,291,1,0,1,1,1,0,1,tverdislav2021@example.net,+7 (701) 456-7890,https://www.ip.info/,2025-04-11 06:38:04,0,2005,1
5,650760904126,340582544842,393852395161,404299772871,2023-01-18,2025-01-21,2024-09-07 23:10:48,16002,ТОО «Бета Снабжение»,ТОО «Beta Jabdyqtau»,RU,1,1,1,109,1,3,1,2,260,1220,439,0,0,1,1,0,0,1,radislav_54@example.com,+7 (701) 567-8901,https://www.melnikov.edu/,2025-05-03 12:48:44,0,2011,0
6,353013676925,581310664479,745109730284,333610290614,2025-05-31,2022-12-16,2025-05-04 20:09:56,37822,АО «КазПром»,АО «KazProm»,RU,0,0,0,984,1,3,0,2,412,1310,614,0,1,0,1,1,0,1,gavrilovaevgenija@example.com,+7 (701) 678-9012,https://ip.edu/,2025-10-14 12:28:52,0,2009,1
7,972318791414,297795966005,602255451207,987176540731,2023-06-04,2025-07-28,2024-02-14 20:01:41,48399,ИП «АгроФерма»,ИП «AgroFerma»,KG,1,0,0,372,1,3,0,1,139,1410,912,0,0,1,0,0,0,1,vasilevaoksana@example.org,+7 (701) 789-0123,https://www.bogdanov.biz/,2024-01-28 03:16:22,1,2014,1
8,710743263913,134009538701,338106390592,750090175427,2024-03-26,2025-06-28,2023-11-17 13:37:05,63496,ТОО «Гамма Трейд»,ТОО «Gamma Trade»,UZ,1,0,1,225,1,3,0,1,526,2110,533,0,1,0,0,1,1,1,antonin1987@example.com,+7 (702) 132-4657,http://npo.biz/,2025-08-29 19:25:13,0,2004,1
9,388672825584,241229420155,963259696354,869253776288,2025-01-07,2024-10-20,2023-08-21 11:25:12,85772,ИП «СтройМатериал»,ИП «QurylysMaterial»,UZ,0,1,0,879,0,3,1,2,58,2120,925,0,0,0,1,0,0,0,sokolovizmail@example.org,+7 (702) 243-5768,https://kudrjashova.ru/,2022-12-10 07:52:10,0,2011,0
10,997756642221,473428899404,928703120535,972708974783,2024-04-19,2023-11-03,2024-09-13 13:33:30,64099,АО «Центр Медицинских Технологий»,АО «Medicinalyq Tehnologiyalar Ortalygy»,KZ,0,1,0,307,0,3,0,3,466,2210,48,1,1,1,1,0,0,0,eduard1979@example.org,+7 (702) 354-6879,https://www.ip.com/,2024-02-19 09:29:21,1,2020,1
11,349437808279,548122950934,747260481179,579739967398,2024-11-09,2024-09-04,2023-01-02 16:23:17,41244,ТОО «ТехноРесурс»,ТОО «TehnoResurs»,RU,0,0,1,661,1,3,1,3,542,2310,13,0,1,0,0,0,1,0,moketretjakov@example.com,+7 (702) 465-7980,http://www.npo.com/,2025-09-07 01:01:34,0,2009,0
12,869091966902,441954794219,429737419409,548562039458,2023-08-05,2023-03-29,2024-08-19 12:45:32,56731,ИП «КанцМаркет»,ИП «KantsMarket»,RU,1,0,0,133,1,3,0,1,904,3110,866,1,1,1,1,1,0,0,polina18@example.com,+7 (702) 576-8091,http://kalinina.biz/,2023-09-28 09:15:01,0,2011,0
13,435870999904,250107567119,855018042216,526338982448,2023-01-13,2023-05-02,2025-08-24 16:18:57,44702,АО «Транспортный Союз»,АО «Kölik Odagy»,KZ,0,1,1,722,1,3,1,1,288,3210,581,1,1,1,0,0,0,0,bmolchanov@example.net,+7 (702) 687-9102,https://koka-kola.ru/,2023-06-29 16:32:55,0,2019,0
14,908450914933,786669485644,927349921299,709705797460,2024-06-17,2025-03-26,2023-08-25 02:48:55,80980,ИП «ХолодСервис»,ИП «SuıqService»,KG,0,0,1,801,0,3,0,3,77,5110,841,1,1,1,1,1,0,0,andre_17@example.net,+7 (702) 798-0213,http://www.ovchinnikov.org/,2024-08-17 11:54:20,0,2013,1
15,390042015627,547092117517,210442423515,318730349691,2024-07-21,2023-11-06,2023-11-11 06:28:33,33209,ТОО «Эпсилон Техно»,ТОО «Epsilon Tehno»,RU,1,1,0,756,0,3,1,3,374,5210,163,1,0,1,1,1,0,1,mark_2025@example.com,+7 (703) 111-2233,https://www.fomicheva.info/,2025-03-13 11:39:38,1,2001,1
16,574606285717,913789791069,831504804273,972235446733,2024-06-28,2025-11-12,2023-06-29 22:57:05,60997,АО «Индустриал Парк»,АО «Industrial Park»,KG,1,1,1,43,1,3,0,2,42,6100,524,1,0,0,1,0,1,0,julian2009@example.org,+7 (703) 222-3344,https://www.npo.ru/,2022-12-18 06:25:46,1,2018,0
